Periodo,nom_aglomerado,Tipo_Trabajo,Ingreso_Medio_Real
2016-T2,Gran Salta,Estatal/Público,0.0
2016-T2,Gran Salta,Otro,0.0
2016-T2,Gran Salta,Privado,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Otro,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Privado,0.0
2016-T3,Gran Salta,Estatal/Público,0.0
2016-T3,Gran Salta,Otro,0.0
2016-T3,Gran Salta,Privado,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Otro,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Privado,0.0
2016-T4,Gran Salta,Estatal/Público,0.0
2016-T4,Gran Salta,Otro,0.0
2016-T4,Gran Salta,Privado,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Otro,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Privado,0.0
2017-T1,Gran Salta,Estatal/Público,1568797.78
2017-T1,Gran Salta,Otro,1000035.31
2017-T1,Gran Salta,Privado,760890.28
2017-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,1307414.47
2017-T1,Gran Tucumán - Tafí Viejo,Otro,1565234.38
2017-T1,Gran Tucumán - Tafí Viejo,Privado,822997.08
2017-T2,Gran Salta,Estatal/Público,1571107.72
2017-T2,Gran Salta,Otro,940092.86
2017-T2,Gran Salta,Privado,772211.81
2017-T2,Gran Tucumán - Tafí Viejo,Estatal/Público,1314371.26
2017-T2,Gran Tucumán - Tafí Viejo,Otro,1218906.5
2017-T2,Gran Tucumán - Tafí Viejo,Privado,758693.86
2017-T3,Gran Salta,Estatal/Público,1647154.3
2017-T3,Gran Salta,Otro,669260.72
2017-T3,Gran Salta,Privado,789476.62
2017-T3,Gran Tucumán - Tafí Viejo,Estatal/Público,1335151.12
2017-T3,Gran Tucumán - Tafí Viejo,Otro,1299603.63
2017-T3,Gran Tucumán - Tafí Viejo,Privado,801597.13
2017-T4,Gran Salta,Estatal/Público,1494318.91
2017-T4,Gran Salta,Otro,1207107.99
2017-T4,Gran Salta,Privado,823410.74
2017-T4,Gran Tucumán - Tafí Viejo,Estatal/Público,1278772.31
2017-T4,Gran Tucumán - Tafí Viejo,Otro,1105778.61
2017-T4,Gran Tucumán - Tafí Viejo,Privado,829417.79
2018-T1,Gran Salta,Estatal/Público,1547525.8
2018-T1,Gran Salta,Otro,1184923.86
2018-T1,Gran Salta,Privado,802311.56
2018-T1,Gran Tucumán - Tafí Viejo,Estatal/Público,1339950.75
