Periodo,nom_aglomerado,Nivel_Educativo,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real
2016-T2,Gran Salta,Primaria Completa,50.46,47.62,5.63,0.0
2016-T2,Gran Salta,Primaria Incompleta,6.66,6.24,6.34,0.0
2016-T2,Gran Salta,Secundaria Completa,68.1,64.5,5.29,0.0
2016-T2,Gran Salta,Secundaria Incompleta,36.04,30.65,14.94,0.0
2016-T2,Gran Salta,Sin Instrucción,1.31,1.31,0.0,0.0
2016-T2,Gran Salta,Superior Completa,82.96,78.63,5.22,0.0
2016-T2,Gran Salta,Superior Incompleta,56.73,48.1,15.22,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Primaria Completa,47.93,44.87,6.38,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Primaria Incompleta,11.84,11.28,4.69,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Secundaria Completa,68.73,62.98,8.37,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,32.09,28.14,12.31,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Sin Instrucción,0.0,0.0,0.0,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Superior Completa,77.75,73.9,4.96,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Superior Incompleta,50.03,44.02,12.01,0.0
2016-T3,Gran Salta,Primaria Completa,49.82,45.36,8.95,0.0
2016-T3,Gran Salta,Primaria Incompleta,10.07,9.66,4.11,0.0
2016-T3,Gran Salta,Secundaria Completa,67.45,62.43,7.45,0.0
2016-T3,Gran Salta,Secundaria Incompleta,38.36,34.87,9.11,0.0
2016-T3,Gran Salta,Sin Instrucción,0.68,0.68,0.0,0.0
2016-T3,Gran Salta,Superior Completa,76.99,74.73,2.93,0.0
2016-T3,Gran Salta,Superior Incompleta,57.74,51.64,10.57,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Primaria Completa,54.97,50.75,7.68,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Primaria Incompleta,15.89,13.99,11.92,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Secundaria Completa,67.26,62.08,7.71,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Secundaria Incompleta,34.21,31.31,8.49,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Sin Instrucción,1.8,1.8,0.0,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Superior Completa,74.9,70.7,5.61,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Superior Incompleta,50.78,45.45,10.49,0.0
2016-T4,Gran Salta,Primaria Completa,45.0,44.52,1.07,0.0
2016-T4,Gran Salta,Primaria Incompleta,7.92,6.57,17.1,0.0
2016-T4,Gran Salta,Secundaria Completa,68.1,63.24,7.14,0.0
2016-T4,Gran Salta,Secundaria Incompleta,39.9,36.26,9.12,0.0
2016-T4,Gran Salta,Sin Instrucción,1.78,1.78,0.0,0.0
2016-T4,Gran Salta,Superior Completa,78.87,76.36,3.18,0.0
2016-T4,Gran Salta,Superior Incompleta,58.62,51.86,11.52,0.0
