Periodo,nom_aglomerado,Sexo,Tasa_Actividad,Tasa_Empleo,Tasa_Desocupacion,Ingreso_Medio_Real
2016-T2,Gran Salta,Mujer,35.96,32.52,9.56,0.0
2016-T2,Gran Salta,Varón,48.21,44.07,8.58,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Mujer,32.76,30.21,7.79,0.0
2016-T2,Gran Tucumán - Tafí Viejo,Varón,48.55,44.06,9.26,0.0
2016-T3,Gran Salta,Mujer,34.96,32.28,7.66,0.0
2016-T3,Gran Salta,Varón,48.47,44.81,7.56,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Mujer,34.35,31.81,7.4,0.0
2016-T3,Gran Tucumán - Tafí Viejo,Varón,51.44,46.96,8.71,0.0
2016-T4,Gran Salta,Mujer,36.49,33.9,7.11,0.0
2016-T4,Gran Salta,Varón,47.49,43.97,7.4,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Mujer,33.39,30.6,8.35,0.0
2016-T4,Gran Tucumán - Tafí Viejo,Varón,55.64,51.26,7.88,0.0
2017-T1,Gran Salta,Mujer,39.97,36.96,7.54,775671.47
2017-T1,Gran Salta,Varón,51.98,48.2,7.28,1036836.82
2017-T1,Gran Tucumán - Tafí Viejo,Mujer,28.93,26.05,9.95,771961.82
2017-T1,Gran Tucumán - Tafí Viejo,Varón,53.41,49.64,7.05,1030448.62
2017-T2,Gran Salta,Mujer,39.89,36.83,7.66,845672.47
2017-T2,Gran Salta,Varón,50.64,46.47,8.24,1002486.35
2017-T2,Gran Tucumán - Tafí Viejo,Mujer,33.12,30.05,9.27,753068.74
2017-T2,Gran Tucumán - Tafí Viejo,Varón,49.91,46.78,6.29,966106.52
2017-T3,Gran Salta,Mujer,40.78,36.83,9.69,860391.35
2017-T3,Gran Salta,Varón,51.57,47.63,7.64,1054699.64
2017-T3,Gran Tucumán - Tafí Viejo,Mujer,34.68,32.42,6.51,807940.2
2017-T3,Gran Tucumán - Tafí Viejo,Varón,49.13,44.13,10.19,994614.56
2017-T4,Gran Salta,Mujer,43.19,39.25,9.12,840074.32
2017-T4,Gran Salta,Varón,51.84,47.87,7.65,1083985.37
2017-T4,Gran Tucumán - Tafí Viejo,Mujer,33.85,32.14,5.07,830006.11
2017-T4,Gran Tucumán - Tafí Viejo,Varón,51.48,48.34,6.1,984967.86
2018-T1,Gran Salta,Mujer,40.91,37.19,9.1,854975.84
2018-T1,Gran Salta,Varón,52.67,48.07,8.74,1040770.37
2018-T1,Gran Tucumán - Tafí Viejo,Mujer,33.68,30.54,9.33,822387.8
2018-T1,Gran Tucumán - Tafí Viejo,Varón,49.74,46.62,6.28,984388.08
2018-T2,Gran Salta,Mujer,39.91,35.51,11.02,878973.84
2018-T2,Gran Salta,Varón,51.48,46.66,9.37,980492.98
2018-T2,Gran Tucumán - Tafí Viejo,Mujer,35.12,31.3,10.87,829054.17
2018-T2,Gran Tucumán - Tafí Viejo,Varón,53.59,49.59,7.48,985777.14
2018-T3,Gran Salta,Mujer,42.2,37.71,10.65,742969.23
2018-T3,Gran Salta,Varón,52.5,48.43,7.76,915420.46
2018-T3,Gran Tucumán - Tafí Viejo,Mujer,34.23,31.08,9.21,733330.67
2018-T3,Gran Tucumán - Tafí Viejo,Varón,53.1,50.09,5.66,917410.85
2018-T4,Gran Salta,Mujer,42.09,37.72,10.4,703909.8
2018-T4,Gran Salta,Varón,53.91,49.75,7.71,836851.01
2018-T4,Gran Tucumán - Tafí Viejo,Mujer,36.87,33.24,9.85,708159.97
2018-T4,Gran Tucumán - Tafí Viejo,Varón,50.82,47.63,6.28,857635.05
2019-T1,Gran Salta,Mujer,39.44,35.12,10.95,654752.04
2019-T1,Gran Salta,Varón,52.68,47.93,9.02,879873.15
