ANO4,TRIMESTRE,nom_aglomerado,Media,Q1_25,Mediana,Q3_75,Desvio_Std,Periodo
2017,1,Gran Salta,918584.09,378683.68,757367.36,1136051.04,878912.13,2017-T1
2017,1,Gran Tucumán - Tafí Viejo,938101.56,378683.68,757367.36,1230721.96,1197864.45,2017-T1
2017,2,Gran Salta,929211.04,355734.84,711469.67,1156138.22,945465.89,2017-T2
2017,2,Gran Tucumán - Tafí Viejo,883087.95,426881.8,755936.53,1245071.93,584586.66,2017-T2
2017,3,Gran Salta,966390.41,340074.6,680149.2,1275279.75,941689.37,2017-T3
2017,3,Gran Tucumán - Tafí Viejo,912384.13,408089.52,797268.96,1275279.75,659628.46,2017-T3
2017,4,Gran Salta,967197.61,403715.39,726687.7,1211146.16,952166.21,2017-T4
2017,4,Gran Tucumán - Tafí Viejo,920442.84,403715.39,807430.78,1291889.24,665490.17,2017-T4
2018,1,Gran Salta,954702.53,377845.38,755690.77,1284674.31,904069.07,2018-T1
2018,1,Gran Tucumán - Tafí Viejo,918793.56,377845.38,755690.77,1284674.31,679170.37,2018-T1
2018,2,Gran Salta,934373.07,350273.02,700546.04,1260982.88,824636.21,2018-T2
2018,2,Gran Tucumán - Tafí Viejo,923875.4,420327.63,700546.04,1260982.88,704508.22,2018-T2
2018,3,Gran Salta,835449.73,314172.58,628345.15,1131021.28,746120.71,2018-T3
2018,3,Gran Tucumán - Tafí Viejo,843697.11,377007.09,747730.73,1131021.28,603880.2,2018-T3
2018,4,Gran Salta,773934.74,274145.82,548291.64,1049480.05,734023.07,2018-T4
2018,4,Gran Tucumán - Tafí Viejo,792145.53,383804.15,712779.13,1096583.28,557537.16,2018-T4
2019,1,Gran Salta,775391.39,298658.97,597317.94,995529.9,903398.41,2019-T1
2019,1,Gran Tucumán - Tafí Viejo,770141.15,348435.47,597317.94,995529.9,652166.75,2019-T1
2019,2,Gran Salta,771910.21,268779.23,537558.45,1006866.89,887071.0,2019-T2
2019,2,Gran Tucumán - Tafí Viejo,747367.93,313575.76,627151.53,1067399.74,631857.98,2019-T2
2019,3,Gran Salta,748822.1,285023.29,529328.96,1017940.31,811565.99,2019-T3
2019,3,Gran Tucumán - Tafí Viejo,769404.47,325740.9,610764.19,1017940.31,628084.35,2019-T3
2019,4,Gran Salta,719118.31,254164.56,539719.95,1079439.91,674314.87,2019-T4
2019,4,Gran Tucumán - Tafí Viejo,763084.14,323831.97,611968.91,1079439.91,613767.81,2019-T4
2020,1,Gran Salta,722814.04,264463.57,495869.19,991738.39,822126.32,2020-T1
2020,1,Gran Tucumán - Tafí Viejo,735431.0,330579.46,595043.03,991738.39,569616.42,2020-T1
2020,2,Gran Salta,795324.39,298816.73,622534.85,1089435.99,719384.58,2020-T2
2020,2,Gran Tucumán - Tafí Viejo,903277.45,311267.43,739254.96,1120562.73,811639.19,2020-T2
2020,3,Gran Salta,760375.29,262408.2,583129.32,1020476.32,679952.24,2020-T3
2020,3,Gran Tucumán - Tafí Viejo,638310.25,247829.96,466503.46,933006.92,535980.15,2020-T3
2020,4,Gran Salta,751758.83,264126.73,554666.14,1056506.93,711910.07,2020-T4
2020,4,Gran Tucumán - Tafí Viejo,718855.21,285256.87,581078.81,1006938.15,621918.98,2020-T4
2021,1,Gran Salta,715505.15,235381.16,508423.29,941524.62,742674.73,2021-T1
2021,1,Gran Tucumán - Tafí Viejo,686478.08,282457.39,564914.77,941524.62,560349.7,2021-T1
2021,2,Gran Salta,668765.46,241680.36,524451.78,839122.85,751522.77,2021-T2
2021,2,Gran Tucumán - Tafí Viejo,680347.36,293693.0,524451.78,881079.0,633399.87,2021-T2
2021,3,Gran Salta,678173.6,268613.26,508001.56,882586.42,819314.02,2021-T3
2021,3,Gran Tucumán - Tafí Viejo,643260.09,280593.79,575599.84,863399.76,501035.89,2021-T3
2021,4,Gran Salta,734312.52,314220.71,558614.59,960118.82,822784.56,2021-T4
2021,4,Gran Tucumán - Tafí Viejo,660561.13,314220.71,523701.18,872835.29,537313.69,2021-T4
2022,1,Gran Salta,761621.66,308325.52,554985.94,924976.57,827112.96,2022-T1
2022,1,Gran Tucumán - Tafí Viejo,721812.33,308325.52,616651.05,924976.57,688703.01,2022-T1
2022,2,Gran Salta,693329.56,307805.05,521804.9,913158.57,606670.25,2022-T2
2022,2,Gran Tucumán - Tafí Viejo,649022.2,260902.45,521804.9,913158.57,512886.9,2022-T2
2022,3,Gran Salta,700188.49,324261.77,540436.29,900439.44,632977.34,2022-T3
2022,3,Gran Tucumán - Tafí Viejo,592169.22,245697.32,518818.84,823421.01,488868.49,2022-T3
2022,4,Gran Salta,672630.35,273115.65,546231.31,910385.52,593291.58,2022-T4
2022,4,Gran Tucumán - Tafí Viejo,609252.92,273115.65,498271.95,819346.96,550418.73,2022-T4
2023,1,Gran Salta,726598.94,305535.36,534686.88,916606.09,1051616.8,2023-T1
2023,1,Gran Tucumán - Tafí Viejo,641091.17,305535.36,534686.88,840222.25,500268.57,2023-T1
2023,2,Gran Salta,727821.69,275626.64,551253.28,980005.83,634441.61,2023-T2
2023,2,Gran Tucumán - Tafí Viejo,605902.82,275626.64,490002.92,857505.1,459496.21,2023-T2
2023,3,Gran Salta,655555.74,287378.38,478963.97,862135.15,539874.45,2023-T3
2023,3,Gran Tucumán - Tafí Viejo,593507.84,268219.83,478963.97,814238.76,460839.84,2023-T3
2023,4,Gran Salta,610563.75,233845.02,475468.78,808058.39,631452.89,2023-T4
2023,4,Gran Tucumán - Tafí Viejo,517757.21,233845.02,417580.39,668128.63,409765.72,2023-T4
2024,1,Gran Salta,588764.85,204630.09,409260.18,716205.31,1012407.28,2024-T1
2024,1,Gran Tucumán - Tafí Viejo,453017.69,196444.89,409260.18,613890.27,374244.48,2024-T1
2024,2,Gran Salta,608167.91,242918.27,463708.45,809727.57,655472.14,2024-T2
2024,2,Gran Tucumán - Tafí Viejo,567468.12,242918.27,485836.54,728754.81,482848.91,2024-T2
2024,3,Gran Salta,648276.35,286786.36,430179.53,872355.62,631071.51,2024-T3
2024,3,Gran Tucumán - Tafí Viejo,612069.6,229429.08,501876.12,860359.07,682253.64,2024-T3
2024,4,Gran Salta,741256.91,302458.16,525403.97,1050807.94,652973.35,2024-T4
2024,4,Gran Tucumán - Tafí Viejo,568953.58,210161.59,472863.57,788105.96,493269.33,2024-T4
2025,1,Gran Salta,812532.05,365417.88,669932.77,1096253.63,638854.35,2025-T1
2025,1,Gran Tucumán - Tafí Viejo,705354.28,304514.9,609029.79,974447.67,646055.94,2025-T1
2025,2,Gran Salta,875887.71,339104.85,678209.7,1017314.56,1477160.22,2025-T2
2025,2,Gran Tucumán - Tafí Viejo,702956.53,306840.26,678209.7,949493.59,541891.73,2025-T2
2025,3,Gran Salta,787589.93,321312.83,642625.66,1071042.76,725701.93,2025-T3
2025,3,Gran Tucumán - Tafí Viejo,782775.7,321312.83,642625.66,963938.49,730141.1,2025-T3
