ANO4,TRIMESTRE,indice
2017,1,103.85226879999999
2017,2,110.55189185481713
2017,3,115.6427423600573
2017,4,121.76634941972462
2018,1,130.1033465217662
2018,2,140.344662598138
2018,3,156.47116464427617
2018,4,179.31679145547244
2019,1,197.51872450306632
2019,2,219.47655547519778
2019,3,241.4628266343426
2019,4,273.2469791208621
2020,1,297.4107866375998
2020,2,315.8631128543412
2020,3,337.20786819425865
2020,4,372.23758838553294
2021,1,417.6965568834665
2021,2,468.66986224712497
2021,3,512.4283827090625
2021,4,563.209913026235
2022,1,637.7538725060652
2022,2,753.6755459105538
2022,3,909.615989820788
2022,4,1079.958944276804
2023,1,1287.1557291894255
2023,2,1605.1806213979598
2023,3,2052.7201079611527
2023,4,2943.0829416088377
2024,1,4804.664783736982
2024,2,6071.047972999594
2024,3,6856.525490834522
2024,4,7485.127901773409
2025,1,8071.682141766215
2025,2,8698.008663217513
2025,3,9179.642626366727
2025,4,9831.789803247995
